paso;participante;objetivo;consigna;palabras;dicho;calidad_cientifica;federalizacion_efectiva;nivel_de_consenso
1;Laura Benítez — Dirección de Estudios;Que la convocatoria se diseñe con evidencia sobre capacidades y brechas, sin convertir los datos en un ranking automático.;What does Laura Benítez — Dirección de Estudios do or say regarding the proposed distribution of resources for the regional water stress project?;140;"Laura Benítez, de la Dirección de Estudios, intervino ante la mesa de trabajo para definir la estrategia de financiamiento de la convocatoria regional. Tras analizar las asimetrías en las capacidades científicas, Laura Benítez presentó su postura: ""La convocatoria debe diseñarse a partir de una lectura rigurosa de las capacidades y las brechas reales de la región, evitando caer en un ranking automático que solo reprodujera las asimetrías existentes. Propongo explorar un esquema mixto que combine estándares de calidad con mecanismos de acompañamiento y fortalecimiento técnico para las jurisdicciones más rezagadas, asegurando así que los recursos no solo premien la infraestructura actual, sino que contribuyan activamente a mitigar la vulnerabilidad hídrica en todo el territorio"". Como resultado de su intervención, la discusión se desplazó formalmente hacia la evaluación de un modelo de fondo mixto con reserva territorial.

[VARIABLES: calidad_cientifica=55, federalizacion_efectiva=50, nivel_de_consenso=30]";55.0;50.0;30.0
2;Mariana Roldán — Secretaría;Aprobar un diseño defendible en público, ejecutable con recursos limitados y con resultados visibles en seis meses.;Mariana Roldán — Secretaría, como responsable de la convocatoria, ¿qué opinión le merece la propuesta de fondo mixto de Laura Benítez y cómo planea integrar a los demás actores en esta discusión?;94;"Mariana Roldán, en representación de la Secretaría, tomó la palabra ante la mesa de trabajo para validar la propuesta de la Dirección de Estudios. Tras un gesto medido, declaró: ""La idea del fondo mixto con reserva territorial ofrece un punto de equilibrio realista entre la exigencia de rigor científico y la necesaria inclusión federal"". Como resultado de su intervención, Mariana Roldán formalizó la apertura del debate, instando a los representantes de las provincias con mayor trayectoria y a los bloques de menores capacidades a definir los detalles operativos del mecanismo de asignación.

[VARIABLES: nivel_de_consenso=35]";55.0;50.0;35.0
3;Martín Salvatierra — Comité de Evaluación;Asegurar que lo que se financie tenga calidad científica, método consistente y capacidad real de ejecución.;Martín Salvatierra, desde el Comité de Evaluación, observa la propuesta de fondo mixto. ¿Qué postura adopta respecto a los criterios de selección y cómo propone medir la calidad científica en este esquema de reserva territorial?;287;"Event: Martín Salvatierra, del Comité de Evaluación, intervino ante la mesa de trabajo para establecer las condiciones técnicas del fondo mixto propuesto. Tras ajustar sus anteojos, declaró: ""Desde el punto de vista del Comité, no podemos oponernos a la necesidad de federalizar los recursos ni a contemplar las asimetrías estructurales de las provincias, pero debemos ser sumamente precisos con los mecanismos. La flexibilidad geográfica no puede traducirse en una flexibilización del rigor metodológico, especialmente con un horizonte de ejecución tan acotado como el de seis meses. Para que este esquema mixto con reserva territorial sea viable para nosotros, propongo establecer un doble estándar de evaluación que no comprometa la calidad científica. Primero, los proyectos de la vía de competencia abierta mantendrán el umbral de excelencia habitual, basado en antecedentes, consistencia metodológica y viabilidad inmediata. Segundo, para los proyectos seleccionados mediante la reserva territorial que no alcancen inicialmente ese puntaje óptimo, no bajaremos la vara; en su lugar, aplicaremos el mecanismo de acompañamiento técnico sugerido por la Dirección de Estudios como una fase previa y obligatoria de nivelación de tres meses. En términos operativos, esto significa que la adjudicación definitiva de los fondos de la reserva quedará condicionada a que estos equipos levanten las observaciones metodológicas señaladas por el Comité. Solo así garantizamos que la inclusión territorial no se convierta en una inversión a ciegas, asegurando que cada peso asignado responda a criterios científicos sólidos y tenga capacidad real de ejecución en el terreno. Esa es la única línea roja que el Comité de Evaluación está dispuesto a sostener"". Como resultado de su intervención, se formalizó la integración de una fase obligatoria de nivelación técnica como requisito para acceder a los fondos de reserva territorial.

[VARIABLES: calidad_cientifica=65, nivel_de_consenso=45]";65.0;50.0;45.0
4;Verónica Cruz — Consejo Federal;Conseguir que todas las provincias tengan oportunidades reales de liderazgo y no solo de ejecución.;Verónica Cruz — Consejo Federal, habiendo escuchado la propuesta de un fondo mixto con una fase de nivelación técnica obligatoria, ¿cuál es su postura al respecto y cómo sugiere avanzar en la distribución de los seis proyectos?;268;"**Event:** Verónica Cruz, en representación del Consejo Federal, intervino en la mesa de trabajo para validar la nivelación técnica y cuestionar los plazos de ejecución. Tras manifestar su aprobación a la fase de nivelación de tres meses, Cruz declaró: ""Desde el Consejo Federal vemos con buenos ojos la inclusión de esa fase de nivelación técnica de tres meses. Consideramos que es un paso indispensable y largamente postergado para garantizar una verdadera equidad territorial. No podemos permitir que las provincias con menor infraestructura queden reducidas a meras espectadoras o ejecutoras de un diseño ajeno; esta nivelación es la herramienta que asegura que nuestras regiones tengan oportunidades reales de liderazgo científico"". Acto seguido, planteó una objeción fundamental sobre los plazos: ""Ahora bien, siendo absolutamente pragmáticos y con los pies en la tierra, debemos advertir que un plazo de ejecución de seis meses para arrojar resultados verificables en proyectos de estrés hídrico, bajo estas condiciones y tras una nivelación, resulta sencillamente irreal. Exigir tiempos exprés a equipos que recién se están fortaleciendo es condenar el proceso al fracaso o, peor aún, a reproducir las mismas asimetrías que intentamos corregir. Por lo tanto, desde el Consejo Federal proponemos ajustar ese cronograma operativo, extendiendo el periodo de ejecución a un margen viable que permita a los investigadores locales trabajar con rigor, y garantizando que la distribución de los seis proyectos contemple cuotas regionales claras que aseguren la participación efectiva de las jurisdicciones más rezagadas"". Como resultado de su intervención, se instaló en la mesa el debate sobre la inviabilidad de los plazos actuales y la necesidad de establecer cuotas regionales.

[VARIABLES: federalizacion_efectiva=60, nivel_de_consenso=40]";65.0;60.0;40.0
5;Sergio Ledesma — Cámara de Productores;Que se financien soluciones aplicables y accesibles, probadas en condiciones productivas reales.;What is the position of Sergio Ledesma — Cámara de Productores regarding the proposed adjustment to the execution timeline and the establishment of regional quotas?;184;"**Event:** Sergio Ledesma, representante de la Cámara de Productores, intervino en la mesa de trabajo para fijar su postura sobre el cronograma y la distribución de fondos. Tras analizar las tensiones expuestas por el Consejo Federal, declaró: ""Comprendo la frustración respecto a los plazos, pues exigir resultados definitivos en seis meses ignora los tiempos biológicos y climáticos del campo, pero me preocupa profundamente que alargar el cronograma deje a los productores desprotegidos frente al avance implacable del estrés hídrico. Apoyo la equidad para que las provincias rezagadas no queden fuera, siempre y cuando la distribución federal no se convierta en un reparto político ineficiente. Lo innegociable es que cualquier ajuste en el calendario o en las cuotas de participación incorpore un mecanismo de control estricto que garantice que los proyectos comiencen a arrojar soluciones tangibles en el terreno lo antes posible, evitando que el debate se pierda en tecnicismos mientras las cosechas continúan en riesgo"". Como resultado de su intervención, la mesa incorporó la exigencia de mecanismos de control de resultados como condición necesaria para cualquier flexibilización de los tiempos operativos.

[VARIABLES: calidad_cientifica=70, nivel_de_consenso=45]";70.0;60.0;45.0
6;Laura Benítez — Dirección de Estudios;Que la convocatoria se diseñe con evidencia sobre capacidades y brechas, sin convertir los datos en un ranking automático.;Laura Benítez — Dirección de Estudios, usted ha escuchado los planteos sobre la inviabilidad de los seis meses originales y la necesidad de cupos regionales con control de gestión. ¿Qué propone ante la mesa para resolver este punto muerto en el cronograma sin sacrificar la urgencia de los productores?;340;"**Event:** Laura Benítez, de la Dirección de Estudios, intervino ante la mesa de trabajo para proponer un esquema de hitos diferenciados que resuelva el estancamiento del cronograma. Tras analizar las posturas de los representantes, declaró: ""Creo que los puntos que han puesto sobre la mesa Verónica y Sergio son precisos y nos obligan a ser realistas con la ejecución, sin que eso signifique resignar el rigor que Martín y el Comité de Evaluación nos exigen. La propuesta de las cuotas regionales y los cupos de reserva territorial es sólida, pero el cuello de botella actual es claramente el cronograma. Pretender el mismo tipo de resultados intermedios a los seis meses para un equipo con alta infraestructura instalada que para uno que recién atraviesa la fase de nivelación técnica es inviable. Lo que propongo para destrabar esto es modular el cronograma en función de las capacidades reales, sin alterar la duración total de dieciocho meses del proyecto. Para los proyectos que ingresen por la vía de la competencia abierta, mantenemos los hitos originales de seis meses. Pero para aquellos adjudicados mediante la reserva territorial —los que completarán la fase de nivelación de tres meses—, propongo establecer un esquema de hitos diferenciados de adaptación. Es decir, el primer hito a los seis meses para estos equipos no exigirá un impacto en el terreno, sino la validación formal del plan de trabajo ajustado y la instalación de las capacidades críticas. De esta manera, satisfacemos la demanda de la Cámara de Productores al exigir un control estricto de gestión y entregables tangibles, pero le damos al Consejo Federal y a las provincias rezagadas el margen operativo necesario para no asfixiar a los investigadores en su arranque. Mariana, si los números de la Secretaría nos acompañan para sostener este seguimiento dual, creo que tenemos aquí una salida equilibrada que cuida tanto el presupuesto como la equidad territorial"". Como resultado de su intervención, la mesa comenzó a evaluar formalmente la implementación de un cronograma con hitos diferenciados según la vía de acceso al financiamiento.

[VARIABLES: nivel_de_consenso=55]";70.0;60.0;55.0
7;Mariana Roldán — Secretaría;Aprobar un diseño defendible en público, ejecutable con recursos limitados y con resultados visibles en seis meses.;Mariana Roldán, ¿cómo responde ante la propuesta de cronograma con hitos diferenciados y qué decisión toma la Secretaría respecto al diseño de la convocatoria?;261;"**Event:** Mariana Roldán, representante de la Secretaría, formalizó la aprobación del diseño técnico-operativo de la convocatoria tras validar la viabilidad del esquema de hitos diferenciados. Tras observar la disposición de los demás miembros, declaró: ""Desde el punto de vista administrativo y presupuestario, la Secretaría ha evaluado la viabilidad del esquema de hitos diferenciados y seguimiento dual. Les confirmo que la estructura operativa puede absorber esta segmentación sin comprometer los recursos destinados a los proyectos. No podemos permitir que los costos de gestión desvíen el fondo principal, pero garantizamos que el equipo técnico interno asumirá el seguimiento diferenciado sin necesidad de sobredimensionar la burocracia. Por lo tanto, la Secretaría da luz verde y ratifica este diseño. Vamos a estructurar la convocatoria bajo la modalidad de fondo mixto con reserva territorial: mantendremos la exigencia de calidad que respalda el Comité de Evaluación, incorporaremos la fase de nivelación técnica y los cupos regionales solicitados por el Consejo Federal, y respaldaremos el mecanismo de control de resultados intermedios a los seis meses que exige la Cámara de Productores. Los equipos que ingresen por vía de nivelación tendrán metas adaptadas en este primer tramo, pero con la condición estricta de rendir cuentas sobre hitos de progreso tangibles para habilitar su continuidad. Con esta fórmula salomónica equilibramos las cargas, protegemos el presupuesto y aseguramos resultados visibles en el plazo requerido. Damos por aprobado el diseño técnico-operativo de la convocatoria y pasamos a la redacción final del documento"". Como resultado, se estableció el diseño final de la convocatoria, logrando el consenso total de la mesa.

[VARIABLES: diseno_final=fondo_mixto_con_reserva_y_hitos_diferenciados, nivel_de_consenso=100]";70.0;60.0;100.0
8;Martín Salvatierra — Comité de Evaluación;Asegurar que lo que se financie tenga calidad científica, método consistente y capacidad real de ejecución.;What does Martín Salvatierra — Comité de Evaluación propose regarding the next steps now that the design is approved?;142;"**Event:** Martín Salvatierra, del Comité de Evaluación, intervino ante la mesa de trabajo para exigir la formalización legal de los acuerdos alcanzados. Tras revisar los términos, declaró: ""El Comité procederá inmediatamente a redactar y revisar las cláusulas contractuales estrictas para la convocatoria final, asegurando que los estándares de doble evaluación —excelencia inmediata para la vía abierta y validación de capacidad crítica para la vía de reserva— queden explícitamente integrados en el texto legal. Es imperativo que establezcamos formalmente los protocolos para la fase obligatoria de nivelación de tres meses y configuremos el marco de monitoreo de doble vía, garantizando que ni el rigor científico ni la capacidad real de ejecución se vean comprometidos durante la implementación"". Como resultado de su intervención, el Comité de Evaluación inició formalmente la redacción de los pliegos contractuales bajo los lineamientos del esquema mixto acordado.

[VARIABLES: NONE]";70.0;60.0;100.0
9;Verónica Cruz — Consejo Federal;Conseguir que todas las provincias tengan oportunidades reales de liderazgo y no solo de ejecución.;What does Verónica Cruz — Consejo Federal do to ensure the regional quotas are explicitly detailed in the final legal text?;113;"**Event:** Verónica Cruz, en representación del Consejo Federal, intervino en la mesa de trabajo para exigir la blindaje legal de las cuotas regionales en los pliegos contractuales. Tras revisar los borradores presentados por el Comité de Evaluación, Cruz declaró: ""Exijo que los pliegos contractuales incorporen de manera explícita y sin ambigüedades numéricas el porcentaje reservado para las jurisdicciones rezagadas. Estas cuotas regionales deben quedar blindadas como un requisito obligatorio de adjudicación y no como una mera sugerencia sujeta a la discrecionalidad del Comité de Evaluación"". Como resultado de su intervención, la mesa inició la revisión de los pliegos para cuantificar y formalizar los cupos de reserva territorial como cláusulas vinculantes.

[VARIABLES: federalizacion_efectiva=70, nivel_de_consenso=90]";70.0;70.0;90.0
10;Sergio Ledesma — Cámara de Productores;Que se financien soluciones aplicables y accesibles, probadas en condiciones productivas reales.;What does Sergio Ledesma — Cámara de Productores propose regarding the specific percentage for the regional quotas that Verónica Cruz is demanding?;132;"**Event:** Sergio Ledesma, representante de la Cámara de Productores, intervino en la mesa de trabajo para exigir que el blindaje legal de las cuotas regionales incluya salvaguardas operativas. Tras analizar los avances en la redacción de los pliegos, declaró: ""Me mantengo al margen de la disputa sobre el porcentaje exacto, pero mi exigencia es firme: cualquier blindaje administrativo debe incorporar un mecanismo de control de desempeño implacable. No permitiremos que estas cuotas regionales se conviertan en un refugio para la ineficiencia; el contrato debe garantizar plazos rigurosos y entregables tangibles para que la ayuda llegue al campo sin quedar atrapada en el laberinto burocrático"". Como resultado de su intervención, la mesa acordó integrar cláusulas de desempeño vinculantes a los cupos de reserva territorial para asegurar la agilidad en la ejecución.

[VARIABLES: nivel_de_consenso=95]";70.0;70.0;95.0
