paso;actor;objetivo;consigna;palabras;dicho;adopcion_productiva;calidad_cientifico_tecnologica;concentracion_institucional;federalizacion_efectiva;nivel_de_consenso;sostenibilidad_posterior;viabilidad_operativa
1;Laura Benítez — DIE;Lograr que la convocatoria se diseñe con evidencia trazable sobre capacidades, brechas, concentración territorial y complementariedades, sin convertir Atlas en un ranking automático. Laura Benítez debe defender esta posicion incluso cuando resulte incomoda para la mesa, y no debe sumarse a un acuerdo que la deje sin garantias.;The session begins. Mariana Roldán (SI) opens the floor for the first point of discussion: the distribution model. Please state your position on: competition without reserves, one project per province, a mixed fund with territorial reserves, or mandatory inter-provincial networks.;180;"Laura Benítez (DIE) took the floor during the MID-NOA meeting to establish the position of the Dirección de Innovación Estratégica regarding the regional call. Addressing the other members directly, she stated: ""La Dirección de Innovación Estratégica no puede convalidar un esquema de competencia abierta sin reservas, ya que eso solo profundizaría las asimetrías estructurales que ya evidencian los mapas sobre la mesa. Tampoco considera viable un proyecto por provincia, porque diluye el impacto y sacrifica los estándares técnicos necesarios.""

Laura proposed that the mesa adopt a model of a mixed fund with territorial reserves, conditioned on the design utilizing traceable evidence regarding capabilities, gaps, and complementarities. She further insisted: ""El uso de la plataforma Atlas no puede transformarse en un ranking automático y cualquier acuerdo debe incluir garantías explícitas para el desarrollo de capacidades en las regiones emergentes antes de dar mi aval a la propuesta."" 

As a result, the discussion moved toward defining a formal model of territorial distribution, with the ""mixed fund"" option gaining traction as the primary subject of deliberation for the group.

[VARIABLES: federalizacion_efectiva=50, concentracion_institucional=55, nivel_de_consenso=35]";40.0;50.0;55.0;50.0;35.0;35.0;45.0
2;Mariana Roldán — SI;Aprobar un diseño de convocatoria políticamente defendible, ejecutable con recursos limitados y capaz de mostrar resultados visibles dentro de los primeros seis meses. Mariana Roldán debe defender esta posicion incluso cuando resulte incomoda para la mesa, y no debe sumarse a un acuerdo que la deje sin garantias.;Mariana Roldán (SI) abre el debate sobre el modelo de distribución, reconociendo la postura de Laura Benítez (DIE) y solicitando a Martín Salvatierra (CECT), Verónica Cruz (COFECyT-NOA) y Sergio Ledesma (CP-NOA) que expresen su posición técnica sobre la viabilidad del 'fondo mixto con reserva territorial' frente a otras alternativas para avanzar hacia el Punto de Decisión Crítico 5.;166;"**Event:** Mariana Roldán (SI) presided over the meeting, leaning forward to challenge the technical feasibility of the ""mixed fund"" model proposed by Laura Benítez (DIE). Addressing Martín Salvatierra (CECT), Verónica Cruz (COFECyT-NOA), and Sergio Ledesma (CP-NOA), she stated: ""Escucho la propuesta de Laura sobre el fondo mixto y las reservas territoriales, y me parece un punto de partida válido para no entramparnos en discusiones estériles, pero aquí necesitamos números y hechos, no solo intenciones políticas. Martín, Verónica, Sergio: necesito que me digan con total franqueza técnica si este esquema resiste una auditoría de ejecución en seis meses o si se nos va a caer en la primera licitación. Si vamos a incorporar reservas territoriales, quiero saber exactamente bajo qué métricas se van a asignar para que nadie en esta sala pueda tachar la convocatoria de arbitraria. Tienen la palabra."" As a result, the floor is now open for the remaining participants to provide technical metrics and confirm the viability of the territorial distribution model.

[VARIABLES: NONE]";40.0;50.0;55.0;50.0;35.0;35.0;45.0
3;Martín Salvatierra — CECT;Asegurar que los proyectos financiados tengan calidad científico-tecnológica, metodología consistente, objetivos evaluables y capacidad real de ejecución. Martín Salvatierra debe defender esta posicion incluso cuando resulte incomoda para la mesa, y no debe sumarse a un acuerdo que la deje sin garantias.;Martín Salvatierra — CECT, responde a la solicitud de Mariana Roldán definiendo las métricas para el fondo mixto y la viabilidad técnica del esquema propuesto.;268;"**Event:** Martín Salvatierra (CECT) addressed the MID-NOA meeting to provide his technical assessment of the proposed ""mixed fund"" model. Leaning over the table, he stated: ""Comprendo perfectamente la preocupación de la Secretaría y comparto el diagnóstico de la Dirección de Innovación Estratégica: ir hacia una competencia abierta pura en este escenario sería condenar de antemano a las provincias con menor densidad instalada en el Atlas, pero repartir un proyecto por provincia a libro cerrado significaría renunciar por completo a nuestro mandato de excelencia científico-tecnológica. Por lo tanto, el modelo de fondo mixto con reserva territorial es, técnicamente, la única salida viable."" He then set three non-negotiable conditions: ""Primero, que la asignación esté precedida por una fase obligatoria de nivelación metodológica y formulación asistida para los grupos de las regiones emergentes; segunda, que los proyectos que ingresen por la vía de la reserva compitan contra un estándar mínimo de factibilidad y no contra los proyectos de las regiones de mayor desarrollo relativo; y tercera, que la liberación de los fondos esté condicionada a hitos de cumplimiento intermedios auditables, con comités de seguimiento independientes."" He concluded by stating: ""Si establecemos estos umbrales cuantitativos y cualitativos desde el inicio, el fondo mixto cumplirá con el doble propósito de integrar al NOA sin degradar el rigor científico. Si no se incorporan estas garantías de ejecución real, el CECT no podrá avalar la convocatoria."" As a result, the technical conditions for the ""mixed fund"" model were formally placed on the table, and the floor is now open for Verónica Cruz (COFECyT-NOA) and Sergio Ledesma (CP-NOA) to weigh in.

[VARIABLES: calidad_cientifico_tecnologica=60, federalizacion_efectiva=55, viabilidad_operativa=55, nivel_de_consenso=40]";;60.0;55.0;55.0;40.0;;55.0
4;Verónica Cruz — COFECyT-NOA;Conseguir una federalización efectiva que otorgue a todas las provincias del NOA oportunidades reales de liderazgo, recursos y fortalecimiento de capacidades. Verónica Cruz debe defender esta posicion incluso cuando resulte incomoda para la mesa, y no debe sumarse a un acuerdo que la deje sin garantias.;Verónica Cruz (COFECyT-NOA), how do you respond to the technical conditions proposed by Martín Salvatierra and the request for metrics from Mariana Roldán, specifically regarding the assurance of provincial leadership in the emergent regions?;285;"Verónica Cruz (COFECyT-NOA) tomó la palabra en la reunión de la MID-NOA para fijar la postura de su organismo respecto a las condiciones técnicas presentadas previamente por el CECT y la Secretaría de Innovación. Tras observar a los demás integrantes, declaró con firmeza: ""Aceptamos el modelo de fondo mixto con reserva territorial y entendemos perfectamente la necesidad de rigor técnico que plantea Martín, así como la exigencia de transparencia y métricas que señala Mariana. Sin embargo, seamos claros: si los 'estándares mínimos de factibilidad' y los 'hitos auditables' del CECT se aplican de manera lineal sobre las capacidades actuales que refleja la plataforma Atlas, lo único que vamos a lograr es institucionalizar la exclusión de las provincias con desarrollo emergente"".

A continuación, estableció los requisitos innegociables para el COFECyT-NOA: ""El COFECyT-NOA no va a convalidar un esquema donde nuestros distritos queden reducidos a meras mesas de entrada o unidades ejecutoras subordinadas a los centros de mayor infraestructura. Si queremos que este fondo mixto funcione sin caer en la arbitrariedad pero sin marginar a nadie, exigimos que las condiciones del CECT vengan acompañadas de un programa obligatorio de nivelación metodológica y asistencia técnica previa, financiado y garantizado desde esta misma mesa. Y que la reserva territorial asegure, por contrato, que las instituciones del NOA no solo participen, sino que ejerzan el liderazgo operativo y científico de los proyectos. Sin estas garantías explícitas de fortalecimiento y conducción real para toda la región, el NOA no puede suscribir este acuerdo"". Como resultado, las demandas de nivelación y liderazgo territorial fueron incorporadas a la mesa de negociación, dejando el turno de palabra a Sergio Ledesma (CP-NOA) para completar la evaluación de los criterios de asociación.

[VARIABLES: federalizacion_efectiva=65, viabilidad_operativa=60, nivel_de_consenso=45]";;60.0;55.0;65.0;45.0;;60.0
5;Sergio Ledesma — CP-NOA;Lograr que la convocatoria financie soluciones aplicables, accesibles y probadas en condiciones productivas reales. Sergio Ledesma debe defender esta posicion incluso cuando resulte incomoda para la mesa, y no debe sumarse a un acuerdo que la deje sin garantias.;Sergio Ledesma — CP-NOA toma la palabra para definir su posición respecto a las condiciones de nivelación y liderazgo territorial planteadas por Verónica Cruz, y para avanzar hacia la definición de la cantidad y escala de los proyectos.;379;"**Event:** Sergio Ledesma (CP-NOA) addressed the MID-NOA meeting to provide the position of the productive sector regarding the technical and operational viability of the proposed fund. Striking the table with his knuckles to command attention, he stated: ""Comparto plenamente lo que acaba de señalar Verónica, y recojo el guante de lo que plantearon Martín y Mariana sobre el rigor y las auditorías. Desde el sector productivo regional no nos vamos a oponer a que haya controles, métricas o estándares de factibilidad. Nadie acá quiere regalar plata ni financiar proyectos inviables que nazcan rotos. Pero seamos claros: si los hitos que exige el CECT se miden con la vara de los centros que ya tienen todo el capital humano y la infraestructura concentrada, lo único que vamos a firmar es el certificado de defunción de los productores de las zonas emergentes.""

Ledesma then added: ""Para el CP-NOA, la viabilidad operativa no es un papel firmado en una oficina de Buenos Aires o en el centro tecnológico más grande de la región; es que la tecnología sirva, se adapte y se pueda aplicar en condiciones reales de producción, con escasez de agua, caminos rotos y márgenes ajustados. Por eso, si vamos a avanzar hacia el fondo mixto con reserva territorial, pongo tres condiciones innegociables sobre la mesa, en sintonía con el COFECyT: primero, las exigencias de factibilidad deben contemplar una ventana de nivelación técnica real previa a la ejecución, no un filtro excluyente de entrada; segundo, la reserva territorial tiene que garantizar por contrato que los productores y actores locales participen en la toma de decisiones del proyecto, no que sean convidados de piedra de los grandes centros; y tercero, en cuanto a la escala, no podemos pulverizar los fondos en veinte proyectos chiquitos que no resuelven nada ni concentrarlo todo en dos megaobras que no llegan al territorio. Necesitamos un esquema equilibrado de proyectos de escala intermedia, anclados a demandas concretas de producción. Si estas garantías no quedan por escrito y blindadas en el diseño final, el sector productivo no va a convalidar este acuerdo."" 

As a result, the requirements for operational scaling and local decision-making power were integrated into the negotiation framework, and the session transitioned toward the definition of specific project quantities and scales.

[VARIABLES: adopcion_productiva=60, viabilidad_operativa=65, nivel_de_consenso=50]";60.0;60.0;55.0;65.0;50.0;35.0;65.0
6;Laura Benítez — DIE;Lograr que la convocatoria se diseñe con evidencia trazable sobre capacidades, brechas, concentración territorial y complementariedades, sin convertir Atlas en un ranking automático. Laura Benítez debe defender esta posicion incluso cuando resulte incomoda para la mesa, y no debe sumarse a un acuerdo que la deje sin garantias.;What does Laura Benítez — DIE propose regarding the specific project quantities and scales requested by the group?;153;"**Event:** Laura Benítez (DIE) took the floor during the MID-NOA meeting to provide her assessment of the operational scale, balancing Sergio Ledesma’s call for equilibrium with the technical rigor demanded by the CECT. Looking across the table, she stated: ""El dimensionamiento de los fondos debe reflejar estrictamente las capacidades reales detectadas a través de la evidencia trazable de la plataforma Atlas. Exijo que se establezca un umbral mínimo garantizado para los proyectos de las regiones emergentes que les permita una ejecución efectiva sin caer en lógicas de megaobras inaccesibles. Debemos mantener una postura firme para que el número de iniciativas financiadas no sacrifique el rigor técnico ni diluya el impacto estratégico del fondo mixto con reserva territorial."" As a result, the discussion moved toward the critical decision point of defining the specific number and scale of the projects to be funded under the ""NOA Agua, Producción y Territorio"" call.

[VARIABLES: calidad_cientifico_tecnologica=65, viabilidad_operativa=70, nivel_de_consenso=55]";60.0;65.0;55.0;65.0;55.0;35.0;70.0
7;Mariana Roldán — SI;Aprobar un diseño de convocatoria políticamente defendible, ejecutable con recursos limitados y capaz de mostrar resultados visibles dentro de los primeros seis meses. Mariana Roldán debe defender esta posicion incluso cuando resulte incomoda para la mesa, y no debe sumarse a un acuerdo que la deje sin garantias.;Mariana Roldán (SI) debe definir la cantidad y escala de los proyectos, considerando el pedido de proyectos de escala intermedia de Sergio Ledesma, el rigor técnico de Martín Salvatierra y el umbral para regiones emergentes de Laura Benítez. ¿Cuál es su propuesta para la cantidad y tipo de proyectos?;303;"**Event:** Mariana Roldán (SI), presiding over the MID-NOA meeting, asserted her authority to resolve the ongoing debate on project scale. Addressing the table, she stated: ""Hemos escuchado con atención las demandas de rigor técnico, las exigencias de equidad territorial y la necesidad imperiosa de viabilidad productiva que plantea el sector privado. No podemos seguir dilatando esta decisión con debates abstractos; necesitamos una arquitectura que sea políticamente defendible, ejecutable con recursos limitados y capaz de mostrar resultados visibles en los primeros seis meses, tal como lo exige la realidad de nuestras provincias. La propuesta que vamos a aprobar hoy y sobre la cual no admitiré más renegociaciones estériles es la siguiente: un modelo de seis proyectos de escala intermedia, estructurados bajo el régimen de asociación obligatoria entre una institución consolidada y una emergente, tal como propuso Verónica Cruz. Esto nos permite cumplir simultáneamente con los tres pilares que aquí se han fijado: 1. Rigor técnico y auditabilidad, cumpliendo con la matriz del CECT y los estándares mínimos exigidos por Martín Salvatierra. 2. Equidad territorial y umbrales de protección para las regiones emergentes, respaldados por la plataforma Atlas y exigidos por Laura Benítez. 3. Adopción productiva rápida y viabilidad operativa, asegurando que los proyectos intermedios tengan una ejecución ágil que rinda frutos visibles en el plazo crítico de seis meses, respondiendo al pedido de Sergio Ledesma. Este diseño equilibra todas las tensiones de la mesa sin sacrificar la capacidad de ejecución. Con esta estructura zanjamos la discusión de escalas. Ahora pasaremos a tratar el impacto del recorte presupuestario del 20% sobre esta misma base, sin que ello signifique poner en riesgo las garantías que acabo de establecer. Que quede constancia."" As a result, the MID-NOA reached a formal decision on project quantity and scale, transitioning the session to address the 20% budget reduction.

[VARIABLES: nivel_de_consenso=65]";60.0;65.0;55.0;65.0;65.0;35.0;70.0
8;Martín Salvatierra — CECT;Asegurar que los proyectos financiados tengan calidad científico-tecnológica, metodología consistente, objetivos evaluables y capacidad real de ejecución. Martín Salvatierra debe defender esta posicion incluso cuando resulte incomoda para la mesa, y no debe sumarse a un acuerdo que la deje sin garantias.;Martín Salvatierra — CECT, given the decision to proceed with six intermediate projects and the imminent 20% budget cut, how do you propose adjusting the technical requirements or oversight mechanisms to maintain quality without compromising the viability of the projects?;267;"**Event:** Martín Salvatierra (CECT) addressed the MID-NOA meeting to evaluate the impact of the 20% budget reduction on the previously agreed-upon project structure. Expressing his professional concern, he stated: ""Señores, debemos ser rigurosos y realistas. Mantener seis proyectos intermedios bajo los estrictos estándares de factibilidad, la asistencia metodológica intensiva y el sistema de hitos auditables a los seis meses es materialmente inviable con un presupuesto reducido en un 20%. Pretender absorber este ajuste rebajando la exigencia técnica o eliminando las auditorías preliminares no es una opción para el CECT; eso equivaldría a financiar el fracaso operativo y a comprometer la calidad científico-tecnológica que tanto nos ha costado blindar en este acuerdo. Por lo tanto, propongo dos caminos técnicos posibles, de los cuales no deberíamos apartarnos si queremos garantizar la viabilidad real de la convocatoria: o bien reducimos el número total de proyectos financiados —pasando de seis a cinco iniciativas para preservar intacto el presupuesto por unidad y asegurar el nivel de asistencia técnica exigido—, o bien reajustamos el alcance de los hitos intermedios mediante una optimización de los costos operativos asociados a la investigación, sin tocar jamás los umbrales mínimos de calidad y trazabilidad. El CECT no avalará un esquema que mantenga la cantidad nominal de proyectos a costa de transformar los controles en un mero trámite administrativo superficial. La garantía de ejecución debe prevalecer sobre la ambición cuantitativa."" As a result, the technical constraints of the budget cut were formally established, and the floor was opened for the remaining members to choose between reducing the project count or re-scaling the operational scope.

[VARIABLES: calidad_cientifico_tecnologica=60, viabilidad_operativa=60, nivel_de_consenso=60]";60.0;60.0;55.0;65.0;60.0;35.0;60.0
9;Verónica Cruz — COFECyT-NOA;Conseguir una federalización efectiva que otorgue a todas las provincias del NOA oportunidades reales de liderazgo, recursos y fortalecimiento de capacidades. Verónica Cruz debe defender esta posicion incluso cuando resulte incomoda para la mesa, y no debe sumarse a un acuerdo que la deje sin garantias.;How does Verónica Cruz — COFECyT-NOA respond to Martín's proposal regarding the budget cut, considering her previous demands for regional strengthening?;172;"**Event:** Verónica Cruz (COFECyT-NOA) took the floor during the MID-NOA meeting to respond to the proposal of reducing the project count due to the budget cut. Addressing the table with a firm refusal, she stated: ""Rechazo categóricamente la reducción de proyectos de seis a cinco. Dejar a una provincia emergente fuera del financiamiento vulnera el principio fundamental de federalización y equidad territorial que este organismo sostiene desde el inicio. No aceptaré que el ajuste presupuestario recaiga sobre la exclusión de las regiones con menores capacidades previas."" Ella propuso una alternativa, declarando: ""Exijo que exploremos una estrategia de optimización operativa interna y un uso más eficiente de los recursos logísticos y administrativos de la convocatoria. Debemos mantener intactos los seis proyectos y el programa de nivelación técnica; son innegociables para garantizar un liderazgo real y no una mera ejecución subordinada."" Como resultado, la propuesta de reducir el número de proyectos fue bloqueada, obligando a la mesa a buscar alternativas de eficiencia operativa para absorber el 20% del recorte presupuestario.

[VARIABLES: federalizacion_efectiva=70, viabilidad_operativa=55, nivel_de_consenso=55]";60.0;60.0;55.0;70.0;55.0;;55.0
10;Sergio Ledesma — CP-NOA;Lograr que la convocatoria financie soluciones aplicables, accesibles y probadas en condiciones productivas reales. Sergio Ledesma debe defender esta posicion incluso cuando resulte incomoda para la mesa, y no debe sumarse a un acuerdo que la deje sin garantias.;Sergio Ledesma — CP-NOA, ante la decisión de mantener los seis proyectos y el programa de nivelación a pesar del recorte del 20%, ¿qué propuesta de optimización operativa sugieres para garantizar la viabilidad de los proyectos en el territorio sin sacrificar la calidad técnica?;316;"**Event:** Sergio Ledesma (CP-NOA) addressed the MID-NOA meeting to resolve the budget impasse. Crossing his arms and looking directly at the representatives from the CECT and the Secretaría de Innovación, he stated: ""Si vamos a mantener los seis proyectos y el programa de nivelación exigido por Verónica —lo cual es fundamental para no traicionar el sentido federal de esta convocatoria—, el ajuste del 20% no se puede absorber recortando la calidad técnica ni convirtiendo los hitos de control en un saludo a la bandera. El sector productivo no va a convalidar soluciones de papel que fracasen en el primer campo o planta donde se apliquen.""

Ledesma then presented his formal proposal for absorbing the budget cut: ""La salida no es bajar el número de iniciativas, sino optimizar la ejecución. Planteo tres medidas concretas y no negociables para reasignar ese 20%: primero, centralizar y compartir la logística pesada y el equipamiento de diagnóstico entre los proyectos que comparten zonas de influencia, eliminando la superposición de costos indirectos en la gestión administrativa que manejan las unidades ejecutoras. Segundo, unificar los protocolos de validación inicial aprovechando las capacidades ya instaladas que figuran en el Atlas, en lugar de financiar nuevas estructuras desde cero para cada provincia. Y tercero, renegociar los cronogramas de desembolso para atarlos estrictamente a resultados operativos comprobables en terreno, reduciendo el margen de intermediación burocrática.""

He concluded with a final ultimatum: ""Con esta estructura de optimización eliminamos la grasa presupuestaria sin tocar el músculo técnico ni dejar a ninguna provincia afuera. Si el CECT y la Secretaría aceptan este esquema de eficiencia compartida, avanzamos; de lo contrario, el sector productivo se retira de un acuerdo que solo garantiza el fracaso operativo en el territorio.""

As a result, the MID-NOA adopted the efficiency-based strategy as the official method for absorbing the 20% budget reduction, effectively ending the debate on reducing the number of projects. 

[VARIABLES: viabilidad_operativa=65, nivel_de_consenso=65]";60.0;60.0;55.0;70.0;65.0;35.0;65.0
